insight_id,call_id,summary,tone,pending_items,sales_opportunities,issues
34,34,"A conversation about Rewards and benefits: Redeeming points, understanding reward programs, or travel-related..",dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
35,35,A conversation about Account setup: Assistance with opening a new TFSA..,satisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
36,36,"A conversation about Disputing a charge: Unauthorized transactions, duplicate charges, or incorrect amounts..",neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""processed early mortgage payment"", ""updated account details""]"
37,37,A conversation about Early repayment: Clarification about prepayment penalties or how to pay off a mortgage early..,dissatisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
38,38,"A conversation about Rewards and benefits: Redeeming points, understanding reward programs, or travel-related..",dissatisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""processed early mortgage payment"", ""updated account details""]"
39,39,"A conversation about Payment and balance inquiries: Questions about due dates, minimum payments, or available credit..",satisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
40,40,"A conversation about Card issues: Lost, stolen, or damaged cards, or problems with activation..",satisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
41,41,A conversation about Fraud concerns: Suspected fraudulent activity or account security..,satisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""resolved credit card dispute"", ""issued a replacement card""]"
42,42,"A conversation about Contributions: Questions about contribution limits, deposits, or transferring funds into a TFSA..",satisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
43,43,A conversation about Fraud concerns: Suspected fraudulent activity or account security..,neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
44,44,"A conversation about Investment options: Guidance on selecting investments (e.g., GICs, mutual funds, or stocks)..",neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""processed early mortgage payment"", ""updated account details""]"
45,45,A conversation about Account setup: Assistance with opening a new TFSA..,dissatisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""processed early mortgage payment"", ""updated account details""]"
46,46,A conversation about Early repayment: Clarification about prepayment penalties or how to pay off a mortgage early..,satisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
47,47,"A conversation about Disputing a charge: Unauthorized transactions, duplicate charges, or incorrect amounts..",dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""processed early mortgage payment"", ""updated account details""]"
48,48,"A conversation about Contributions: Questions about contribution limits, deposits, or transferring funds into a TFSA..",neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
49,49,"A conversation about Payments: Questions about payment amounts, schedules, or missed payments..",neutral,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
50,50,"A conversation about Payments: Questions about payment amounts, schedules, or missed payments..",neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
51,51,"A conversation about Payment and balance inquiries: Questions about due dates, minimum payments, or available credit..",satisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
52,52,A conversation about Tax concerns: Clarifications about over-contribution penalties or reporting requirements..,dissatisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
53,53,A conversation about Rates and refinancing: Inquiries about current interest rates or refinancing options..,dissatisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""resolved credit card dispute"", ""issued a replacement card""]"
54,54,"A conversation about Payments: Questions about payment amounts, schedules, or missed payments..",dissatisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""processed early mortgage payment"", ""updated account details""]"
55,55,A conversation about Early repayment: Clarification about prepayment penalties or how to pay off a mortgage early..,satisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""resolved credit card dispute"", ""issued a replacement card""]"
56,56,"A conversation about Contributions: Questions about contribution limits, deposits, or transferring funds into a TFSA..",neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""processed early mortgage payment"", ""updated account details""]"
57,57,"A conversation about Contributions: Questions about contribution limits, deposits, or transferring funds into a TFSA..",dissatisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""processed early mortgage payment"", ""updated account details""]"
58,58,"A conversation about Rewards and benefits: Redeeming points, understanding reward programs, or travel-related..",satisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
59,59,"A conversation about Account changes: Updating information, such as property insurance or mailing address..",satisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""processed early mortgage payment"", ""updated account details""]"
60,60,A conversation about Fraud concerns: Suspected fraudulent activity or account security..,satisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
61,61,"A conversation about Disputing a charge: Unauthorized transactions, duplicate charges, or incorrect amounts..",neutral,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""resolved credit card dispute"", ""issued a replacement card""]"
62,62,A conversation about Application and pre-approval: Information about applying for a new mortgage or getting pre-approved..,neutral,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""processed early mortgage payment"", ""updated account details""]"
63,63,"A conversation about Disputing a charge: Unauthorized transactions, duplicate charges, or incorrect amounts..",dissatisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
64,64,A conversation about Withdrawals: How to withdraw funds and understanding withdrawal implications..,satisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
65,65,"A conversation about Payment and balance inquiries: Questions about due dates, minimum payments, or available credit..",neutral,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
66,66,A conversation about Porting a mortgage: Questions about transferring an existing mortgage to a new property..,neutral,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""processed early mortgage payment"", ""updated account details""]"
67,67,A conversation about Porting a mortgage: Questions about transferring an existing mortgage to a new property..,satisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""processed early mortgage payment"", ""updated account details""]"
68,68,A conversation about Application and pre-approval: Information about applying for a new mortgage or getting pre-approved..,neutral,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
69,69,A conversation about Tax concerns: Clarifications about over-contribution penalties or reporting requirements..,satisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
70,70,"A conversation about Investment options: Guidance on selecting investments (e.g., GICs, mutual funds, or stocks)..",dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
71,71,"A conversation about Payment and balance inquiries: Questions about due dates, minimum payments, or available credit..",neutral,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
72,72,A conversation about Early repayment: Clarification about prepayment penalties or how to pay off a mortgage early..,dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""resolved credit card dispute"", ""issued a replacement card""]"
73,73,"A conversation about Contributions: Questions about contribution limits, deposits, or transferring funds into a TFSA..",neutral,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
74,74,"A conversation about Card issues: Lost, stolen, or damaged cards, or problems with activation..",satisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
75,75,"A conversation about Payments: Questions about payment amounts, schedules, or missed payments..",dissatisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""processed early mortgage payment"", ""updated account details""]"
76,76,"A conversation about Contributions: Questions about contribution limits, deposits, or transferring funds into a TFSA..",neutral,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
77,77,A conversation about Tax concerns: Clarifications about over-contribution penalties or reporting requirements..,satisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
78,78,A conversation about Application and pre-approval: Information about applying for a new mortgage or getting pre-approved..,satisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""processed early mortgage payment"", ""updated account details""]"
79,79,A conversation about Application and pre-approval: Information about applying for a new mortgage or getting pre-approved..,dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""resolved credit card dispute"", ""issued a replacement card""]"
80,80,A conversation about Withdrawals: How to withdraw funds and understanding withdrawal implications..,satisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""processed early mortgage payment"", ""updated account details""]"
81,81,"A conversation about Card issues: Lost, stolen, or damaged cards, or problems with activation..",dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
82,82,A conversation about Application and pre-approval: Information about applying for a new mortgage or getting pre-approved..,satisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""processed early mortgage payment"", ""updated account details""]"
83,83,A conversation about Rates and refinancing: Inquiries about current interest rates or refinancing options..,satisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""processed early mortgage payment"", ""updated account details""]"
84,84,"A conversation about Disputing a charge: Unauthorized transactions, duplicate charges, or incorrect amounts..",satisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""resolved credit card dispute"", ""issued a replacement card""]"
85,85,"A conversation about Payment and balance inquiries: Questions about due dates, minimum payments, or available credit..",satisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""processed early mortgage payment"", ""updated account details""]"
86,86,A conversation about Early repayment: Clarification about prepayment penalties or how to pay off a mortgage early..,dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
87,87,"A conversation about Payments: Questions about payment amounts, schedules, or missed payments..",neutral,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
88,88,"A conversation about Account changes: Updating information, such as property insurance or mailing address..",dissatisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""processed early mortgage payment"", ""updated account details""]"
89,89,"A conversation about Payment and balance inquiries: Questions about due dates, minimum payments, or available credit..",neutral,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""resolved credit card dispute"", ""issued a replacement card""]"
90,90,"A conversation about Payments: Questions about payment amounts, schedules, or missed payments..",dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""resolved credit card dispute"", ""issued a replacement card""]"
91,91,"A conversation about Account changes: Updating information, such as property insurance or mailing address..",neutral,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""processed early mortgage payment"", ""updated account details""]"
92,92,A conversation about Account setup: Assistance with opening a new TFSA..,dissatisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""processed early mortgage payment"", ""updated account details""]"
93,93,A conversation about Fraud concerns: Suspected fraudulent activity or account security..,satisfied,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""processed early mortgage payment"", ""updated account details""]"
94,94,A conversation about Tax concerns: Clarifications about over-contribution penalties or reporting requirements..,satisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""processed early mortgage payment"", ""updated account details""]"
95,95,A conversation about Withdrawals: How to withdraw funds and understanding withdrawal implications..,neutral,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
96,96,"A conversation about Contributions: Questions about contribution limits, deposits, or transferring funds into a TFSA..",satisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""resolved credit card dispute"", ""issued a replacement card""]"
97,97,"A conversation about Card issues: Lost, stolen, or damaged cards, or problems with activation..",neutral,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""resolved credit card dispute"", ""issued a replacement card""]"
98,98,A conversation about Withdrawals: How to withdraw funds and understanding withdrawal implications..,neutral,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""resolved credit card dispute"", ""issued a replacement card""]"
99,99,"A conversation about Payments: Questions about payment amounts, schedules, or missed payments..",neutral,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
100,100,"A conversation about Card issues: Lost, stolen, or damaged cards, or problems with activation..",dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""resolved credit card dispute"", ""issued a replacement card""]"
101,101,"A conversation about Disputing a charge: Unauthorized transactions, duplicate charges, or incorrect amounts..",neutral,"[""request additional documentation for mortgage approval"", ""verify identity for credit card dispute""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
102,102,A conversation about Fraud concerns: Suspected fraudulent activity or account security..,dissatisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""resolved credit card dispute"", ""issued a replacement card""]"
103,103,A conversation about Rates and refinancing: Inquiries about current interest rates or refinancing options..,dissatisfied,"[""send email confirmation with login details"", ""send instructions to complete MD Direct Invest registration""]","[""recommend refinancing options"", ""offer a lower interest rate""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
104,104,"A conversation about Rewards and benefits: Redeeming points, understanding reward programs, or travel-related..",neutral,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""offer additional investment products"", ""schedule a meeting with an investment advisor""]","[""resolved credit card dispute"", ""issued a replacement card""]"
105,105,"A conversation about Payment and balance inquiries: Questions about due dates, minimum payments, or available credit..",satisfied,"[""send account transfer form"", ""schedule a call with a financial advisor""]","[""suggest a rewards credit card"", ""promote a cash-back program""]","[""opened managed TFSA"", ""transferred $10,000 to managed TFSA""]"
